event_name,description,link,when,where,deadline,page_title,meta_description,detailed_deadline,review_time,conference_rank,is_workshop,minimum_pages,website_link,categories
SCDD 2025,"3rd International Conference on Soft Computing, Data mining and Data Science",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182873&copyownerid=170233,"May 30, 2025 - May 31, 2025",Virtual Conference,18/02/25,"SCDD  2025 : 3rd International Conference on Soft Computing, Data mining and Data Science","SCDD  2025 : 3rd International Conference on Soft Computing, Data mining and Data Science",N/A,N/A,N/A,False,N/A,https://scdd2025.org/index,"['soft computing', 'data mining', 'data science', 'deep learning']"
CSEAI 2025,"3rd International Conference on Computer Science, Engineering and Artificial Intelligence",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185021&copyownerid=46167,"May 30, 2025 - May 31, 2025",Virtual Conference,18/02/25,"CSEAI  2025 : 3rd International Conference on Computer Science, Engineering and Artificial Intelligence","CSEAI  2025 : 3rd International Conference on Computer Science, Engineering and Artificial Intelligence",N/A,N/A,N/A,False,N/A,https://cseai2025.org/,"['computer science', 'artificial intelligence', 'engineering', 'machine learning']"
MSE 2025,9th International Conference on Materials Science and Engineering,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=183126&copyownerid=170233,"May 30, 2025 - May 31, 2025",Virtual Conference,18/02/25,MSE  2025 : 9th International Conference on Materials Science and Engineering,MSE  2025 : 9th International Conference on Materials Science and Engineering,N/A,N/A,N/A,False,N/A,https://mse2025.org/index,"['materials science', 'materials', 'energy', 'renewable energy']"
BIOENG 2025,9th International Conference on Bioscience & Engineering,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=183197&copyownerid=170233,"May 30, 2025 - May 31, 2025",Virtual Conference,18/02/25,BIOENG  2025 : 9th International Conference on Bioscience & Engineering,BIOENG  2025 : 9th International Conference on Bioscience & Engineering,N/A,N/A,N/A,False,N/A,https://bioeng2025.org/index,"['neuroscience', 'biology', 'biomedical engineering']"
EI/Scopus-ACVRA 2025,2025 International Conference on Advances in Computer Vision Research and Applications-EI/Scopus,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=183539&copyownerid=182680,"Feb 28, 2025 - Mar 2, 2025","Guangzhou,China",18/02/25,EI/Scopus-ACVRA 2025 : 2025 International Conference on Advances in Computer Vision Research and Applications-EI/Scopus,EI/Scopus-ACVRA 2025 : 2025 International Conference on Advances in Computer Vision Research and Applications-EI/Scopus,"February 28, 2025",N/A,N/A,False,N/A,https://ais.cn/u/fUVrQr,"['computer vision', 'image processing', 'pattern recognition', 'big data']"
PHY 2025,9th International Conference on Recent advances in Physics,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182568&copyownerid=170233,"May 30, 2025 - May 31, 2025",Virtual Conference,18/02/25,PHY 2025 : 9th International Conference on Recent advances in Physics,PHY 2025 : 9th International Conference on Recent advances in Physics,N/A,N/A,N/A,False,N/A,https://phy2025.org/index,"['physics', 'nanotechnology', 'molecular biology', 'photonics']"
AIVR--EI 2025,2025 9th International Conference on Artificial Intelligence and Virtual Reality (AIVR 2025),http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182590&copyownerid=13881,"Jul 11, 2025 - Jul 13, 2025","Osaka, Japan",20/02/25,AIVR--EI 2025 : 2025 9th International Conference on Artificial Intelligence and Virtual Reality (AIVR 2025),AIVR--EI 2025 : 2025 9th International Conference on Artificial Intelligence and Virtual Reality (AIVR 2025),N/A,N/A,N/A,False,N/A,http://aivr.org/,"['intelligent systems', 'simulation', 'computing', 'computer science']"
Artificial Intelligence 2025,2025 International Conference on Artificial Intelligence,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185174&copyownerid=163220,"Feb 14, 2025 - Feb 23, 2025",Hybrid,20/02/25,Artificial Intelligence 2025 : 2025 International Conference on Artificial Intelligence,Artificial Intelligence 2025 : 2025 International Conference on Artificial Intelligence,N/A,N/A,N/A,False,N/A,https://ais.cn/u/BvuQzy,"['artificial intelligence', 'computer science', 'computational intelligence', 'electronics']"
SPIE ICMIP 2025,SPIE--2025 10th International Conference on Multimedia and Image Processing (ICMIP 2025),http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181289&copyownerid=13881,"Apr 26, 2025 - Apr 28, 2025","Okinawa, Japan",20/02/25,SPIE ICMIP 2025 : SPIE--2025 10th International Conference on Multimedia and Image Processing (ICMIP 2025),SPIE ICMIP 2025 : SPIE--2025 10th International Conference on Multimedia and Image Processing (ICMIP 2025),N/A,N/A,N/A,False,N/A,http://www.icmip.org/,"['multimedia', 'information science', 'information security', 'computer science']"
EI/Scopus-EPEMR 2025,"2025 International Academic Conference on Ecological Environment Protection, Environmental Monitoring and Restoration-EI/Scopus",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182432&copyownerid=182680,"Apr 17, 2025 - Apr 19, 2025","Xi'an,China",20/02/25,"EI/Scopus-EPEMR 2025 : 2025 International Academic Conference on Ecological Environment Protection, Environmental Monitoring and Restoration-EI/Scopus","EI/Scopus-EPEMR 2025 : 2025 International Academic Conference on Ecological Environment Protection, Environmental Monitoring and Restoration-EI/Scopus","March 4, 2025",N/A,N/A,True,N/A,https://ais.cn/u/ERvYfi,"['ecology', 'environment', 'environmental', 'remote sensing']"
ERAS 2025,The 1st IEEE International Conference on Engineering Reliable Autonomous Systems (ERAS),http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=183027&copyownerid=189740,"May 29, 2025 - May 30, 2025","Worcester, MA, USA",20/02/25,ERAS 2025 : The 1st IEEE International Conference on Engineering Reliable Autonomous Systems (ERAS),ERAS 2025 : The 1st IEEE International Conference on Engineering Reliable Autonomous Systems (ERAS),N/A,N/A,N/A,False,N/A,https://erasrobotics.org/2025/index.html,"['robotics', 'formal methods', 'software engineering', 'computer science']"
SPIE IWPR 2025,SPIE--2025 10th International Workshop on Pattern Recognition (IWPR 2025),http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182461&copyownerid=13881,"Jun 13, 2025 - Jun 15, 2025",Singapore,20/02/25,SPIE IWPR 2025 : SPIE--2025 10th International Workshop on Pattern Recognition (IWPR 2025),SPIE IWPR 2025 : SPIE--2025 10th International Workshop on Pattern Recognition (IWPR 2025),N/A,N/A,N/A,True,N/A,http://www.icopr.org,"['systems engineering', 'artificial intelligence', 'software engineering', 'computer science']"
EI/Scopus-ISCCN 2025,"2025 4th International Conference on Intelligent Systems, Communications and Computer Networks-EI/Scopus",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185067&copyownerid=182680,"Feb 21, 2025 - Feb 23, 2025","Nanning, China",20/02/25,"EI/Scopus-ISCCN 2025 : 2025 4th International Conference on Intelligent Systems, Communications and Computer Networks-EI/Scopus","EI/Scopus-ISCCN 2025 : 2025 4th International Conference on Intelligent Systems, Communications and Computer Networks-EI/Scopus",N/A,N/A,N/A,False,N/A,https://ais.cn/u/nmMNV3,"['intelligent systems', 'communications', 'computer networks', 'computer science']"
EI/Scopus-EIBDCT 2025,"2025 4th International Conference on Electronic Information Engineering, Big Data and Computer Technology-EI/Scopus",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182478&copyownerid=182680,"Feb 21, 2025 - Feb 23, 2025","Qingdao, China",20/02/25,"EI/Scopus-EIBDCT 2025 : 2025 4th International Conference on Electronic Information Engineering, Big Data and Computer Technology-EI/Scopus","EI/Scopus-EIBDCT 2025 : 2025 4th International Conference on Electronic Information Engineering, Big Data and Computer Technology-EI/Scopus",N/A,N/A,N/A,False,N/A,https://ais.cn/u/ieIRry,"['information science', 'big data', 'communications', 'computer science']"
CompAuto--EI 2025,2025 4th International Conference on Computers and Automation (CompAuto 2025),http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=179005&copyownerid=13881,"Jul 9, 2025 - Jul 11, 2025","Milan, Italy",20/02/25,CompAuto--EI 2025 : 2025 4th International Conference on Computers and Automation (CompAuto 2025),CompAuto--EI 2025 : 2025 4th International Conference on Computers and Automation (CompAuto 2025),N/A,N/A,N/A,False,N/A,http://www.icca.net/,"['cloud computing', 'computer science', 'intelligent systems', 'robotics']"
ACM ICCCV 2025,ACM--2025 The 7th International Conference on Control and Computer Vision (ICCCV 2025),http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182038&copyownerid=13881,"Mar 28, 2025 - Mar 30, 2025","Wuhan, China",20/02/25,ACM ICCCV 2025 : ACM--2025 The 7th International Conference on Control and Computer Vision (ICCCV 2025),ACM ICCCV 2025 : ACM--2025 The 7th International Conference on Control and Computer Vision (ICCCV 2025),N/A,N/A,N/A,False,N/A,http://www.icccv.org/,"['computing', 'computer graphics', 'machine learning', 'computer science']"
EI/Scopus-MEMA 2025,"2025 8th International Conference on Mechanical, Electrical and Material Application-EI/Scopus",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180270&copyownerid=182680,"Mar 14, 2025 - Mar 16, 2025","Shenyang, China",20/02/25,"EI/Scopus-MEMA 2025 : 2025 8th International Conference on Mechanical, Electrical and Material Application-EI/Scopus","EI/Scopus-MEMA 2025 : 2025 8th International Conference on Mechanical, Electrical and Material Application-EI/Scopus","February 28, 2025",N/A,N/A,False,N/A,https://ais.cn/u/ZZV7j2,"['electrical engineering', 'control', 'power', 'information technology']"
IEEE-CSECS 2025,2025 7th International Conference on Software Engineering and Computer Science (CSECS 2025),http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181609&copyownerid=163993,"Mar 21, 2025 - Mar 23, 2025","Jiangsu, China",21/02/25,IEEE-CSECS 2025 2025 : 2025 7th International Conference on Software Engineering and Computer Science (CSECS 2025),IEEE-CSECS 2025 2025 : 2025 7th International Conference on Software Engineering and Computer Science (CSECS 2025),N/A,N/A,N/A,False,N/A,https://www.csecs2025.net/,"['software engineering', 'computer science', 'artificial intelligence', 'machine learning']"
ACM BSCI 2025,The 7th ACM International Symposium on Blockchain and Secure Critical Infrastructure,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185774&copyownerid=77943,"Aug 25, 2025 - Aug 29, 2025","Ha Noi, Vietnam",21/02/25,ACM BSCI 2025 : The 7th ACM International Symposium on Blockchain and Secure Critical Infrastructure,ACM BSCI 2025 : The 7th ACM International Symposium on Blockchain and Secure Critical Infrastructure,N/A,N/A,N/A,False,N/A,https://www.cloud-conf.net/bsci/2025/,"['computer science', 'cybersecurity', 'blockchain']"
EI/Scopus-PETGS 2025,2025 International Conference on Power Electronics Technology and Grid Systems-EI/Scopus,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=184682&copyownerid=182680,"Feb 28, 2025 - Mar 2, 2025","Guangzhou, China",21/02/25,EI/Scopus-PETGS 2025 : 2025 International Conference on Power Electronics Technology and Grid Systems-EI/Scopus,EI/Scopus-PETGS 2025 : 2025 International Conference on Power Electronics Technology and Grid Systems-EI/Scopus,"February 21, 2025",N/A,N/A,False,N/A,https://ais.cn/u/3uY7r2,"['power electronics', 'electronics', 'power', 'smart grid']"
IJAIA 2025,International Journal of Artificial Intelligence & Applications - H Index - 38,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=179680&copyownerid=33993,N/A,N/A,22/02/25,IJAIA 2025 : International Journal of Artificial Intelligence & Applications - H Index - 38,IJAIA 2025 : International Journal of Artificial Intelligence & Applications - H Index - 38,N/A,N/A,N/A,False,N/A,https://www.airccse.org/journal/ijaia/ijaia.html,"['artificial intelligence', 'computer science', 'deep learning', 'machine learning']"
IJCSES 2025,International Journal of Computer Science and Engineering Survey,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=183339&copyownerid=170233,N/A,N/A,22/02/25,IJCSES 2025 : International Journal of Computer Science and Engineering Survey,IJCSES 2025 : International Journal of Computer Science and Engineering Survey,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijcses/index.html,"['computer science', 'software engineering', 'algorithms', 'computer architecture']"
SAI 2025,"14th International Conference on Soft Computing, Artificial Intelligence and Applications",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185519&copyownerid=46167,"May 17, 2025 - May 18, 2025","Zurich, Switzerland",22/02/25,"SAI 2025 : 14th International Conference on Soft Computing, Artificial Intelligence and Applications","SAI 2025 : 14th International Conference on Soft Computing, Artificial Intelligence and Applications",N/A,N/A,N/A,False,N/A,https://icaita2025.org/sai/index,"['artificial intelligence', 'computer science', 'machine learning', 'soft computing']"
IJITE 2025,International Journal on Integrating Technology in Education,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182054&copyownerid=33993,N/A,N/A,22/02/25,IJITE 2025 : International Journal on Integrating Technology in Education,IJITE 2025 : International Journal on Integrating Technology in Education,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijite/home.html,"['education', 'e-learning', 'technology', 'mobile computing']"
IJCSEA 2025,"International Journal of Computer Science, Engineering and Applications",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182795&copyownerid=170233,N/A,N/A,22/02/25,"IJCSEA 2025 : International Journal of Computer Science, Engineering and Applications","IJCSEA 2025 : International Journal of Computer Science, Engineering and Applications",N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijcsea/index.html,"['computer science', 'engineering', 'applications', 'software engineering']"
IJIST 2025,International Journal of Information Sciences and Techniques,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=184715&copyownerid=33993,N/A,N/A,22/02/25,IJIST 2025 : International Journal of Information Sciences and Techniques,IJIST 2025 : International Journal of Information Sciences and Techniques,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/IS/index.html,"['information science', 'digital humanities', 'bioinformatics', 'computational biology']"
MLAIJ 2025,Machine Learning and Applications: An International Journal,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=179258&copyownerid=33993,N/A,N/A,22/02/25,MLAIJ 2025 : Machine Learning and Applications: An International Journal,MLAIJ 2025 : Machine Learning and Applications: An International Journal,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/mlaij/index.html,"['machine learning', 'artificial intelligence', 'computer science', 'deep learning']"
AIS 2025,11th International Conference on Artificial Intelligence and Soft Computing,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=184966&copyownerid=46167,"Jul 26, 2025 - Jul 27, 2025","London, United Kingdom",22/02/25,AIS  2025 : 11th International Conference on Artificial Intelligence and Soft Computing,AIS  2025 : 11th International Conference on Artificial Intelligence and Soft Computing,N/A,N/A,N/A,False,N/A,https://csit2025.org/ais/index,"['artificial intelligence', 'soft computing', 'machine learning', 'data mining']"
IJMVSC 2025,The International Journal of Managing Value and Supply Chains,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180322&copyownerid=171656,N/A,N/A,22/02/25,IJMVSC 2025 : The International Journal of Managing Value and Supply Chains,IJMVSC 2025 : The International Journal of Managing Value and Supply Chains,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/mvsc/ijmvsc.html,"['cultural studies', 'knowledge management', 'supply chain management', 'logistics']"
IJMECH 2025,International Journal of Recent Advances in Mechanical Engineering,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181291&copyownerid=33993,N/A,N/A,22/02/25,IJMECH 2025 : International Journal of Recent Advances in Mechanical Engineering,IJMECH 2025 : International Journal of Recent Advances in Mechanical Engineering,N/A,N/A,N/A,False,N/A,http://wireilla.com/engg/ijmech/index.html,"['mechanical engineering', 'engineering', 'robotics', 'materials']"
NLPI 2025,5th International Conference on NLP & Information Retrieval,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185401&copyownerid=46167,"Mar 15, 2025 - Mar 16, 2025","Vienna, Austria",22/02/25,NLPI 2025 : 5th International Conference on NLP & Information Retrieval,NLPI 2025 : 5th International Conference on NLP & Information Retrieval,N/A,N/A,N/A,True,N/A,https://necom2025.org/nlpi/index,"['NLP', 'information retrieval', 'artificial intelligence', 'computer science']"
IJGCA 2025,International Journal of Grid Computing & Applications,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181629&copyownerid=33993,N/A,N/A,22/02/25,IJGCA 2025 : International Journal of Grid Computing & Applications,IJGCA 2025 : International Journal of Grid Computing & Applications,N/A,N/A,N/A,False,N/A,https://www.airccse.org/journal/ijgca/ijgca.html,"['networking', 'information', 'computing', 'grid computing']"
NSEC 2025,9th International Conference on Networks and Security,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=183003&copyownerid=170233,"Jun 21, 2025 - Jun 22, 2025","Sydney, Australia",22/02/25,NSEC  2025 : 9th International Conference on Networks and Security,NSEC  2025 : 9th International Conference on Networks and Security,N/A,N/A,N/A,True,N/A,https://inwes2025.org/nsec/index,"['big data security', 'data mining', 'internet of things (iot) secur', 'mobile and wireless security']"
DaMi 2025,11th International Conference on Data Mining,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185020&copyownerid=46167,"Jul 26, 2025 - Jul 27, 2025","London, United Kingdom",22/02/25,DaMi 2025 : 11th International Conference on Data Mining,DaMi 2025 : 11th International Conference on Data Mining,N/A,N/A,N/A,False,N/A,https://csit2025.org/dami/index,"['data mining', 'bioinformatics', 'biometrics', 'web mining']"
AIAPP 2025,12th International Conference on Artificial Intelligence and Applications,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185764&copyownerid=46167,"Apr 26, 2025 - Apr 27, 2025","Copenhagen, Denmark",22/02/25,AIAPP 2025 : 12th International Conference on Artificial Intelligence and Applications,AIAPP 2025 : 12th International Conference on Artificial Intelligence and Applications,N/A,N/A,N/A,False,N/A,https://cosit2025.org/aiapp/index,"['artificial intelligence', 'computer science', 'machine learning', 'engineering']"
ASUC 2025,"16th International Conference on Ad hoc, Sensor & Ubiquitous Computing",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=179756&copyownerid=46167,"May 17, 2025 - May 18, 2025","Zurich, Switzerland",22/02/25,"ASUC 2025 : 16th International Conference on Ad hoc, Sensor & Ubiquitous Computing","ASUC 2025 : 16th International Conference on Ad hoc, Sensor & Ubiquitous Computing",N/A,N/A,N/A,False,N/A,https://icaita2025.org/asuc/index,"['ubiquitous computing', 'ad hoc networks', 'security', 'privacy']"
EEIEJ 2025,"Emerging Trends in Electrical, Electronics & Instrumentation Engineering: An international Journal",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181878&copyownerid=33993,N/A,N/A,22/02/25,"EEIEJ 2025 : Emerging Trends in Electrical, Electronics & Instrumentation Engineering: An international Journal","EEIEJ 2025 : Emerging Trends in Electrical, Electronics & Instrumentation Engineering: An international Journal",N/A,N/A,N/A,False,N/A,https://airccse.com/eeiej/index.html,"['engineering', 'electronics', 'electrical engineering', 'electrical']"
ARIN 2025,11th International Conference on Artificial Intelligence,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185228&copyownerid=46167,"Mar 22, 2025 - Mar 23, 2025","Sydney, Australia",22/02/25,ARIN 2025 : 11th International Conference on Artificial Intelligence,ARIN 2025 : 11th International Conference on Artificial Intelligence,N/A,N/A,N/A,False,N/A,https://csita2025.org/arin/index,"['artificial intelligence', 'machine learning', 'computer science', 'intelligent systems']"
SOFT 2025,11th International Conference on Software Engineering,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180364&copyownerid=171656,"May 17, 2025 - May 18, 2025","Zurich, Switzerland",22/02/25,SOFT 2025 : 11th International Conference on Software Engineering,SOFT 2025 : 11th International Conference on Software Engineering,N/A,N/A,N/A,False,N/A,https://icaita2025.org/soft/index,"['software engineering', 'knowledge-based systems', 'formal methods', 'quality management']"
IJGTT 2025,International Journal of Game Theory and Technology,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181374&copyownerid=33993,N/A,N/A,22/02/25,IJGTT 2025 : International Journal of Game Theory and Technology,IJGTT 2025 : International Journal of Game Theory and Technology,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijgtt/index.html,"['game theory', 'decision making', 'technology', 'computer science']"
IJMIT 2025,"International Journal of Managing Information Technology- WJCI Indexed, H index 24",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182137&copyownerid=33993,N/A,N/A,22/02/25,"IJMIT 2025 : International Journal of Managing Information Technology- WJCI Indexed, H index 24","IJMIT 2025 : International Journal of Managing Information Technology- WJCI Indexed, H index 24",N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijmit/ijmit.html,"['computer science', 'information management', 'information technology', 'engineering']"
IJCSITY 2025,International Journal of Computational Science and Information Technology,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185402&copyownerid=46167,N/A,N/A,22/02/25,IJCSITY 2025 : International Journal of Computational Science and Information Technology,IJCSITY 2025 : International Journal of Computational Science and Information Technology,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijcsity/index.html,"['information technology', 'cryptography', 'natural language', 'computational']"
CSEIT 2025,"12th International Conference on Computer Science, Engineering and Information Technology",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=179260&copyownerid=46167,"Jul 19, 2025 - Jul 20, 2025","Toronto, Canada",22/02/25,"CSEIT  2025 : 12th International Conference on Computer Science, Engineering and Information Technology","CSEIT  2025 : 12th International Conference on Computer Science, Engineering and Information Technology",N/A,N/A,N/A,False,N/A,https://cseit2025.org/,"['computer science', 'information technology', 'engineering', 'education']"
ISPR 2025,11th International Conference on Image and Signal Processing,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185765&copyownerid=46167,"Mar 22, 2025 - Mar 23, 2025","Sydney, Australia",22/02/25,ISPR 2025 : 11th International Conference on Image and Signal Processing,ISPR 2025 : 11th International Conference on Image and Signal Processing,N/A,N/A,N/A,False,N/A,https://csita2025.org/ispr/index,"['image processing', 'signal processing', 'computer science', 'engineering']"
IJCSA 2025,International Journal on Computational Science & Applications,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=179825&copyownerid=46167,N/A,N/A,22/02/25,IJCSA 2025 : International Journal on Computational Science & Applications,IJCSA 2025 : International Journal on Computational Science & Applications,N/A,N/A,N/A,False,N/A,https://wireilla.com/ijcsa/index.html,"['computer architecture', 'computational intelligence', 'networks', 'computer science']"
ArIT 2025,6th International Conference on Advances in Artificial Intelligence Techniques,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180918&copyownerid=171656,"Jul 19, 2025 - Jul 20, 2025","Toronto, Canada",22/02/25,ArIT  2025 : 6th International Conference on Advances in Artificial Intelligence Techniques,ArIT  2025 : 6th International Conference on Advances in Artificial Intelligence Techniques,N/A,N/A,N/A,False,N/A,https://cseit2025.org/arit/index,"['artificial intelligence', 'deep learning', 'information retrieval', 'machine learning']"
